# ----------------------------------------
# Key event attribution paths
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Primary channel group path,Data-driven path attributed key events,Key events,Purchase revenue,Days to key event,Touch points to key event
"[""Organic Search"",""Organic Search"",""Unassigned"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,148.749998,3,8
"[""Paid Search"",""Unassigned"",""Referral""]",NaN,1,148.75,0,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,151.72,49,8
"[""Email"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,151.72,81,5
"[""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,154,65,10
"[""Organic Search"",""Paid Search"",""Unassigned"",""Unassigned"",""Referral""]",NaN,1,155.999998,0,5
"[""Paid Search"",""Organic Search"",""Referral""]",NaN,1,156,0,3
"[""Unassigned"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,157.68,0,4
"[""Email"",""Email"",""Referral""]",NaN,1,158.949997,0,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search""]",NaN,1,169.58,6,10
"[""Organic Social"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Social""]",NaN,1,173.399999,5,8
"[""Organic Search"",""Referral"",""Organic Search"",""Referral""]",NaN,1,175.519999,0,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,178.499999,76,7
"[""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,181.479995,2,7
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Social"",""Organic Social""]",NaN,1,181.999998,0,7
"[""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social"",""Referral""]",NaN,1,185.499998,1,11
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral""]",NaN,1,185.499998,2,12
"[""Organic Search"",""Organic Search"",""Email""]",NaN,1,187.5,4,3
"[""Cross-network"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,191.199992,3,9
"[""Unassigned"",""Paid Search"",""Unassigned"",""Referral"",""Referral""]",NaN,1,217.179999,1,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,224.999995,14,13
"[""Paid Search"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,225.25,1,4
"[""Unassigned"",""Referral"",""Referral"",""Unassigned""]",NaN,1,239.999998,0,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,249.999994,6,19
